file_size,entropy,has_sus_strings,extension_risk,string_count,url_count,ip_count,label
1073127,7.548503677141882,1,1,59,5,1,1
6868218,4.909749166612732,0,1,12763,94,186,0
152770,7.562815421114682,1,1,71,5,9,1
502157,5.346453620530536,1,0,17238,43,245,0
120234,7.654778695874175,0,1,57,8,4,1
2421564,5.278963548583601,0,0,16754,86,79,0
8878580,5.728023824732309,1,0,19667,10,28,0
1062255,7.845745231972233,1,1,64,12,9,1
3613610,5.179405256828075,0,0,958,82,64,0
491193,7.581430163667457,1,1,75,6,8,1
555844,7.686858211290933,1,1,16,2,8,1
3911197,7.203105461153578,0,0,15833,51,156,0
6190573,4.865342202695519,0,0,478,3,57,0
1373307,7.444148776693815,1,1,20,4,5,1
1674069,7.415009091134513,1,1,50,4,8,1
3682262,4.274906059518256,1,1,15838,15,146,0
5512174,5.9043068924524835,1,0,4411,12,173,0
9223335,5.427096689919194,0,0,13646,38,229,0
1629884,7.534783265857466,1,1,22,12,8,1
1217269,7.5291323871598275,1,1,45,13,2,1
4057518,7.047321268199262,0,0,9178,45,194,0
3807688,5.288718917357873,0,0,5157,56,110,0
6868100,4.050661745381804,0,0,19875,2,143,0
1226220,7.861995368731223,1,1,20,6,2,1
5088268,6.542245787435011,0,0,14955,2,101,0
477119,7.82717179283933,1,1,45,2,9,1
310141,7.412014120711825,1,1,38,14,2,1
6124769,6.142517523460778,0,0,16722,73,133,0
3452356,5.246668474219309,1,0,8223,29,192,0
7430645,5.007162932094108,0,1,1590,31,142,0
3365695,5.4654021862314375,0,0,8268,42,37,0
1909694,7.6538453136778895,1,1,13,7,5,1
6161686,3.2143207194666488,0,1,8687,42,175,0
37690,7.438346792569485,1,1,33,4,4,1
3773962,3.385393258366251,0,0,8964,81,9,0
2569103,3.5503492966944217,0,1,16112,88,68,0
66440,7.561268778896963,1,0,56,6,3,1
1106534,4.099273490579871,0,0,4968,31,76,0
3445084,6.695487911106533,0,1,13754,31,249,0
3882185,3.024363002477139,0,0,11239,88,92,0
7104230,5.288653451953087,0,1,5882,14,28,0
1047797,5.635659951922106,0,0,6141,45,94,0
6096929,7.2193164096805065,0,0,15947,67,76,0
5355075,5.431864849162194,0,0,15335,35,73,0
1149391,7.761515534075152,1,1,37,2,4,1
1515142,7.9703206847169,1,1,9,7,4,1
